"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778393400","80695.9","1778436625","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393400","0.05650742","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393460","80695.9","1778436685","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393460","0.04208183","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393520","80695.8","1778436745","80695.8","80695.8","80695.8","XXBTZUSD","1","1778393520","0.02801243","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393580","80695.8","1778436805","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393580","0.01762848","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393640","80695.8","1778436865","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393640","0.10444327","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393700","80695.9","1778436925","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393700","0.18091044","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393760","80695.8","1778436985","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393760","0.08780005","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393820","80695.8","1778437045","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393820","0.00606339","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393880","80695.9","1778437105","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393880","0.01413583","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393940","80695.9","1778437165","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393940","0.00695556","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394000","80695.9","1778437225","80695.9","80695.8","80695.9","XXBTZUSD","1","1778394000","0.04849696","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394060","80695.9","1778437285","80695.9","80695.9","80695.9","XXBTZUSD","1","1778394060","0.00458326","80695.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778394120","80695.9","1778437345","80695.9","80695.8","80695.9","XXBTZUSD","1","1778394120","0.01084876","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394180","80680.1","1778437405","80695.9","80680.1","80695.8","XXBTZUSD","1","1778394180","0.45955096","80680.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778394240","80682.8","1778437465","80682.8","80682.7","80682.7","XXBTZUSD","1","1778394240","0.00344319","80682.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778394300","80678.9","1778437525","80682.8","80674.9","80682.8","XXBTZUSD","1","1778394300","0.11174663","80679.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778394360","80678.9","1778437585","80678.9","80678.8","80678.9","XXBTZUSD","1","1778394360","0.01496897","80678.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394420","80656.9","1778437645","80678.9","80654","80678.9","XXBTZUSD","1","1778394420","0.03911851","80664.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778394480","80656.8","1778437705","80656.9","80656.8","80656.8","XXBTZUSD","1","1778394480","0.52113853","80656.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394540","80636.9","1778437765","80656.9","80634.8","80656.9","XXBTZUSD","1","1778394540","1.1621625","80652.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394600","80636.8","1778437825","80636.9","80636.8","80636.9","XXBTZUSD","1","1778394600","0.03422403","80636.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394660","80636.8","1778437885","80636.9","80636.8","80636.8","XXBTZUSD","1","1778394660","0.03214904","80636.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394720","80636.9","1778437945","80636.9","80636.8","80636.8","XXBTZUSD","1","1778394720","0.00518391","80636.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394780","80636.9","1778438005","80636.9","80636.9","80636.9","XXBTZUSD","1","1778394780","0.02304033","80636.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778394840","80636.9","1778438065","80636.9","80636.8","80636.9","XXBTZUSD","1","1778394840","0.00134647","80636.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778394900","80649.1","1778438125","80649.1","80636.8","80636.9","XXBTZUSD","1","1778394900","0.27599821","80636.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778394960","80649.1","1778438185","80649.1","80649","80649","XXBTZUSD","1","1778394960","0.02951844","80649"
"PAIR#XXBTZUSD","TF#1m#TS#1778395020","80688.2","1778438245","80704","80649","80649","XXBTZUSD","1","1778395020","1.18689117","80670.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778395080","80688.2","1778438305","80688.2","80688.1","80688.2","XXBTZUSD","1","1778395080","0.00746202","80688.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778395140","80688.2","1778438365","80688.2","80688.1","80688.1","XXBTZUSD","1","1778395140","0.06749574","80688.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778395200","80688.1","1778438425","80688.2","80688.1","80688.2","XXBTZUSD","1","1778395200","0.02685694","80688.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778395260","80708.1","1778438485","80708.1","80688.2","80688.2","XXBTZUSD","1","1778395260","0.77897354","80689.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778395320","80702.5","1778438545","80708.1","80701.7","80708","XXBTZUSD","1","1778395320","0.15299941","80706.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778395380","80692.1","1778438605","80702.5","80692","80702.4","XXBTZUSD","1","1778395380","0.0441407","80692.4"
"PAIR#XXBTZUSD","TF#1m#TS#1778395440","80692.1","1778438665","80692.1","80692","80692.1","XXBTZUSD","1","1778395440","0.00521067","80692"
"PAIR#XXBTZUSD","TF#1m#TS#1778395500","80692","1778438725","80692.1","80692","80692","XXBTZUSD","1","1778395500","0.11609717","80692"
"PAIR#XXBTZUSD","TF#1m#TS#1778395560","80692.1","1778438785","80692.1","80692","80692.1","XXBTZUSD","1","1778395560","0.01809683","80692"
"PAIR#XXBTZUSD","TF#1m#TS#1778395620","80692.1","1778438845","80692.1","80692","80692","XXBTZUSD","1","1778395620","0.04582527","80692"
"PAIR#XXBTZUSD","TF#1m#TS#1778395680","80692.1","1778438905","80692.1","80692","80692.1","XXBTZUSD","1","1778395680","0.0778453","80692"
